Id	StctNo	TakenDate	InitType	HSISType	ChildType	ParentType	StctAdjoin	Location	StairIndp	Council1	Council2	ExitCnt	FacilityProvision	Status	InRegion	InvgORPorUAP	InvgStatusORPorUAP	InvgRemarksORPorUAP	InvgAgreeNo	DCInAgreeNo	ConnectAdjoin	BSNote1	BSNote2	BSNote3	BSInChecked	FollowupRegion	WidthNotAcpt	ToNonBFAPath	WideEnough	Gradlt10	WithSteps	StepsForBFA	AlterMeans	AlterDetail	AlterDist	Remarks	AtMainForBFA	ExitAToBuild	AtExitForA	ReasonAwNoBFA	DescAwBFA	AlterMeansAwBFA	AlterDetailAwBFA	AlterDistA	RemarksA	ExitAwBFA	ExitBToBuild	AtExitForB	ReasonBwNoBFA	DescBwBFA	AlterMeansBwBFA	AlterDetailBwBFA	AlterDistB	RemarksB	ExitBwBFA	ExitCToBuild	AtExitForC	ReasonCwNoBFA	DescCwBFA	AlterMeansCwBFA	AlterDetailCwBFA	AlterDistC	RemarksC	ExitCwBFA	ExitDToBuild	AtExitForD	ReasonDwNoBFA	DescDwBFA	AlterMeansDwBFA	AlterDetailDwBFA	AlterDistD	RemarksD	ExitDwBFA	ExitEToBuild	AtExitForE	ReasonEwNoBFA	DescEwBFA	AlterMeansEwBFA	AlterDetailEwBFA	AlterDistE	RemarksE	ExitEwBFA	ExitFToBuild	AtExitForF	ReasonFwNoBFA	DescFwBFA	AlterMeansFwBFA	AlterDetailFwBFA	AlterDistF	RemarksF	ExitFwBFA	ExitGToBuild	AtExitForG	ReasonGwNoBFA	DescGwBFA	AlterMeansGwBFA	AlterDetailGwBFA	AlterDistG	RemarksG	ExitGwBFA	ExitHToBuild	AtExitForH	ReasonHwNoBFA	DescHwBFA	AlterMeansHwBFA	AlterDetailHwBFA	AlterDistH	RemarksH	ExitHwBFA	ExitJToBuild	AtExitForJ	ReasonJwNoBFA	DescJwBFA	AlterMeansJwBFA	AlterDetailJwBFA	AlterDistJ	RemarksJ	ExitJwBFA	ExitKToBuild	AtExitForK	ReasonKwNoBFA	DescKwBFA	AlterMeansKwBFA	AlterDetailKwBFA	AlterDistK	RemarksK	ExitKwBFA	DraftedBy	DraftedByPost	DraftedAt	EndorsedBy	EndorsedByPost	EndorsedAt	AuditedBy	AuditedByPost	AuditedAt
207	HF180	2008-03-14 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	At Yue Fai Road connected to Yue Fai Court, Shek Pai Wan	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-11-07 00:00:00.000	Wing Hong CHI	NULL	2016-11-21 00:00:00.000	NULL	NULL	NULL
208	HF183	2006-12-31 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	at Borrett Road near office of the PRC	No	Central & Western	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	NULL	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-08-08 00:00:00.000	Sau Lai LAM	NULL	2018-08-09 00:00:00.000	NULL	NULL	NULL
209	HF184	2007-12-21 00:00:00.000	Parent	Footbridge	NULL	NULL	HF143	Along Man Yiu Street between Harbour View Street and Man Kwong Street	No	Central & Western	NULL	3	Yes (with alternative BFA means)	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Lift	NULL	NULL	NULL	24 hours lift	Yes	No	No	N.A.	NULL	Yes	Nearby grade-separate walkway within 100m	NULL	NULL	Yes (with alternative BFA means)	Yes	Yes	NULL	24-hr BFA provided by building	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-05-10 00:00:00.000	Ka Hung NG	NULL	2017-05-10 00:00:00.000	NULL	NULL	NULL
210	HF185	1980-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Staircase at Ap Lei Chau Bridge Road near the junction of Ap Lei Chau Drive	Yes	Southern	NULL	2	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Retrofitting works not feasible	See THB's letter (CB(1)2448/10-11(01)) to LegCo on 10/6/2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	No	Yes / N.A.	Yes	None	Yes	Nearby grade-separate walkway within 100m	NULL	Alternative route to San Shi Street	Yes (with alternative BFA means)	No	No	Staircase only	NULL	Yes	Alternative BFA route (extra distance less than 200m)	NULL	Alternative route from San Shi Street to Ap Lei Chau Bridge Road can be used the lift at HS13 	Yes (with alternative BFA means)	No	Yes	NULL	Others (please specify in Remarks)	NULL	NULL	NULL	Alternative route from Ap Lei Chau Bridge Road to San Shi Street can be used the lift at HS13 	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-05-30 00:00:00.000	Sau Lai LAM	NULL	2018-06-12 00:00:00.000	NULL	NULL	NULL
211	HF186	2010-03-03 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Steel staircase at Lee Man Road	Yes	Southern	NULL	2	No	Endorsed	Urban	Yes	Others (see remarks)	NULL	CE55/2017(HY)	NULL	NULL	HAD plans to demolish and reprovide another staircase.	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2016-09-05 00:00:00.000	Wing Hong CHI	NULL	2016-09-05 00:00:00.000	NULL	NULL	NULL
212	HF187	2011-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Staircase at Aroma Walk near Tanner Road	Yes	Eastern	NULL	2	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	Exits A and B lead to staircase only	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	No	Staicase only	NULL	No	NULL	NULL	NULL	No	No	No	Staircase only	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-01-24 00:00:00.000	Wing Hong CHI	NULL	2017-02-03 00:00:00.000	NULL	NULL	NULL
213	HF188	2011-06-27 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Lift and staircase linking between High Street and Bonham Road	No	Central & Western	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-26 00:00:00.000	Ka Hung NG	NULL	2017-04-28 00:00:00.000	NULL	NULL	NULL
214	HF189	2015-09-11 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Harcourt Road near Tamar Street	No	Central & Western	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-22 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
215	HF19	1942-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	along Bowen Road	No	Wan Chai	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-24 00:00:00.000	Ka Hung NG	NULL	2017-04-27 00:00:00.000	NULL	NULL	NULL
216	HF190	2012-11-08 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Along Repulse Bay Road near no. 111 Fair Wing	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-05-23 00:00:00.000	Wing Hong CHI	NULL	2017-05-23 00:00:00.000	NULL	NULL	NULL
217	HF191	2014-12-15 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Centre Street Escalator Link between Third Street and Bonham Road	No	Central & Western	NULL	6	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	Yes	Stairlift	NULL	NULL	NULL	The structure is an escalator link with stairlift and at-grade staircase	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Stairlift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-05-04 00:00:00.000	Ka Hung NG	NULL	2017-05-04 00:00:00.000	NULL	NULL	NULL
218	HF192	2012-12-27 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Sands Street Vertical Link between Rock Hill Street and Ching Lin Terrace	No	Central & Western	NULL	3	No	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	No	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	No	Escalator and Staircase only	NULL	No	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-26 00:00:00.000	Ka Hung NG	NULL	2017-04-28 00:00:00.000	NULL	NULL	NULL
219	HF193	2014-12-28 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Pok Fu Lam Road linking MTR HKU Station Entrance C1 to HKU Centennial Campus	No	Central & Western	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Others (please specify in Remarks)	NULL	NULL	NULL	 As sign for PWD is shown in the photo the exit is considered to be BFA. Remarks that width less than 2m is retained for future reference.  	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chi Wai CHENG	MIOW/STR(HS)	2018-08-08 00:00:00.000	Sau Lai LAM	NULL	2018-08-09 00:00:00.000	NULL	NULL	NULL
220	HF194	2015-09-11 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Across Ap Lei Chau Bridge Road near Yi Nam Road	No	Southern	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Naymen WF NGAN	MIOW/STR(KC)1	2017-02-06 00:00:00.000	Wing Hong CHI	NULL	2017-02-06 00:00:00.000	NULL	NULL	NULL
221	HF2	1970-01-01 00:00:00.000	Parent	Footbridge	HF2A	NULL	NULL	across Gloucester Road near Luk Kwok Hotel	No	Wan Chai	NULL	2	Yes	Endorsed	Urban	Yes	Retrofitting works completed	Retrofitting works completed as per LegCo paper no. CB(4)179/18-19(03).	CE 33/2007 (HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	(2019-03-22 remark) Lift is in operation.	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	(2019-03-22 remark) Lift is in operation.	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-08-29 00:00:00.000	Ka Hung NG	NULL	2016-08-30 00:00:00.000	NULL	NULL	NULL
222	HF20	1942-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	along Bowen Road	No	Wan Chai	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-24 00:00:00.000	Ka Hung NG	NULL	2017-04-27 00:00:00.000	NULL	NULL	NULL
223	HF21	1942-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	along Bowen Road	No	Wan Chai	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-24 00:00:00.000	Ka Hung NG	NULL	2017-04-27 00:00:00.000	NULL	NULL	NULL
224	HF22	2016-12-07 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	along Bowen Road	No	Wan Chai	NULL	2	Yes	Endorsed	Urban	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2017-04-24 00:00:00.000	Ka Hung NG	NULL	2017-04-27 00:00:00.000	NULL	NULL	NULL
225	HF25	1976-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	across Queen's Road East near Wan Chai Park	No	Wan Chai	NULL	3	Yes (with alternative BFA means)	Endorsed	Urban	Yes	Retrofitting works not necessary	At-grade crossing is available in the vicinity.  See LegCo paper No. CB(4)108/16-17(03)	CE 38/2009 (HY)	NULL	NULL	NULL	NULL	NULL	Yes	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Staircase only	NULL	Yes	Others (please specify in Remarks)	120m	"Nearby at-grade crossing over 100 m". Discussed in LegCo paper No. CB(4)108/16-17(03) that at grade crossing is available in vicinity.	Yes (with alternative BFA means)	No	No	Staircase only	NULL	Yes	Others (please specify in Remarks)	120m	"Nearby at-grade crossing over 100 m". Discussed in LegCo paper No. CB(4)108/16-17(03) that at grade crossing is available in vicinity.	Yes (with alternative BFA means)	No	No	Staircase only	NULL	Yes	Others (please specify in Remarks)	120m	"Nearby at-grade crossing over 100 m". Discussed in LegCo paper No. CB(4)108/16-17(03) that at grade crossing is available in vicinity.	Yes (with alternative BFA means)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Chung Yee YU	MIOW/STR(HN)	2016-09-06 00:00:00.000	Ka Hung NG	NULL	2016-09-07 00:00:00.000	NULL	NULL	NULL
